coo: 37.1307079_-6.4847347;E 00:00:00;A 00:00:00;E 00:20:00;A 00:20:00;E 00:40:00;A 00:40:00;E 01:00:00;A 01:00:00;E 01:20:00;A 01:20:00;E 01:40:00;A 01:40:00;E 02:00:00;A 02:00:00;E 02:20:00;A 02:20:00;E 02:40:00;A 02:40:00;E 03:00:00;A 03:00:00;E 03:20:00;A 03:20:00;E 03:40:00;A 03:40:00;E 04:00:00;A 04:00:00;E 04:20:00;A 04:20:00;E 04:40:00;A 04:40:00;E 05:00:00;A 05:00:00;E 05:20:00;A 05:20:00;E 05:40:00;A 05:40:00;E 06:00:00;A 06:00:00;E 06:20:00;A 06:20:00;E 06:40:00;A 06:40:00;E 07:00:00;A 07:00:00;E 07:20:00;A 07:20:00;E 07:40:00;A 07:40:00;E 08:00:00;A 08:00:00;E 08:20:00;A 08:20:00;E 08:40:00;A 08:40:00;E 09:00:00;A 09:00:00;E 09:20:00;A 09:20:00;E 09:40:00;A 09:40:00;E 10:00:00;A 10:00:00;E 10:20:00;A 10:20:00;E 10:40:00;A 10:40:00;E 11:00:00;A 11:00:00;E 11:20:00;A 11:20:00;E 11:40:00;A 11:40:00;E 12:00:00;A 12:00:00;E 12:20:00;A 12:20:00;E 12:40:00;A 12:40:00;E 13:00:00;A 13:00:00;E 13:20:00;A 13:20:00;E 13:40:00;A 13:40:00;E 14:00:00;A 14:00:00;E 14:20:00;A 14:20:00;E 14:40:00;A 14:40:00;E 15:00:00;A 15:00:00;E 15:20:00;A 15:20:00;E 15:40:00;A 15:40:00;E 16:00:00;A 16:00:00;E 16:20:00;A 16:20:00;E 16:40:00;A 16:40:00;E 17:00:00;A 17:00:00;E 17:20:00;A 17:20:00;E 17:40:00;A 17:40:00;E 18:00:00;A 18:00:00;E 18:20:00;A 18:20:00;E 18:40:00;A 18:40:00;E 19:00:00;A 19:00:00;E 19:20:00;A 19:20:00;E 19:40:00;A 19:40:00;E 20:00:00;A 20:00:00;E 20:20:00;A 20:20:00;E 20:40:00;A 20:40:00;E 21:00:00;A 21:00:00;E 21:20:00;A 21:20:00;E 21:40:00;A 21:40:00;E 22:00:00;A 22:00:00;E 22:20:00;A 22:20:00;E 22:40:00;A 22:40:00;E 23:00:00;A 23:00:00;E 23:20:00;A 23:20:00;E 23:40:00;A 23:40:00;
2024-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.75;118.74;2.69;121.79;6.02;124.98;9.22;128.31;12.27;131.82;15.15;135.51;17.85;139.39;20.33;143.49;22.58;147.80;24.57;152.33;26.28;157.06;27.68;161.98;28.74;167.06;29.46;172.26;29.81;177.53;29.80;182.84;29.42;188.11;28.68;193.30;27.60;198.37;26.18;203.28;24.46;208.00;22.45;212.51;20.18;216.81;17.68;220.90;14.97;224.77;12.08;228.45;9.02;231.94;5.81;235.27;2.48;238.45;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.78;118.61;2.67;121.66;6.00;124.84;9.20;128.17;12.26;131.68;15.15;135.36;17.86;139.25;20.35;143.34;22.61;147.65;24.61;152.18;26.32;156.91;27.73;161.83;28.80;166.92;29.53;172.12;29.89;177.40;29.89;182.71;29.52;188.00;28.79;193.20;27.71;198.28;26.30;203.20;24.58;207.93;22.57;212.45;20.31;216.76;17.81;220.85;15.11;224.74;12.21;228.42;9.15;231.92;5.95;235.26;2.61;238.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.80;118.47;2.65;121.52;5.99;124.70;9.20;128.03;12.26;131.53;15.16;135.22;17.87;139.10;20.37;143.20;22.64;147.51;24.65;152.03;26.37;156.76;27.79;161.69;28.87;166.77;29.61;171.99;29.98;177.28;29.99;182.60;29.62;187.89;28.90;193.10;27.83;198.19;26.42;203.12;24.71;207.86;22.71;212.40;20.45;216.71;17.95;220.82;15.25;224.71;12.35;228.40;9.30;231.91;6.09;235.25;2.76;238.44;-0.69;241.49;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.82;118.32;2.64;121.37;5.98;124.55;9.20;127.88;12.27;131.38;15.17;135.07;17.89;138.95;20.40;143.04;22.68;147.35;24.70;151.88;26.43;156.62;27.85;161.54;28.95;166.63;29.69;171.85;30.08;177.15;30.09;182.48;29.74;187.78;29.02;193.01;27.95;198.11;26.55;203.05;24.84;207.80;22.84;212.35;20.59;216.67;18.09;220.78;15.39;224.68;12.50;228.38;9.44;231.90;6.24;235.24;2.90;238.44;-0.55;241.50;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.83;118.18;2.63;121.22;5.98;124.40;9.20;127.73;12.28;131.23;15.19;134.92;17.92;138.80;20.44;142.89;22.72;147.20;24.75;151.73;26.49;156.47;27.93;161.40;29.03;166.49;29.79;171.72;30.18;177.02;30.20;182.36;29.86;187.68;29.14;192.91;28.08;198.03;26.69;202.98;24.98;207.75;22.99;212.30;20.73;216.64;18.24;220.76;15.54;224.67;12.65;228.38;9.59;231.90;6.39;235.25;3.05;238.45;-0.40;241.51;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.84;118.02;2.63;121.07;5.99;124.25;9.22;127.58;12.30;131.08;15.22;134.76;17.96;138.64;20.48;142.73;22.78;147.04;24.81;151.57;26.57;156.31;28.01;161.25;29.12;166.35;29.89;171.58;30.29;176.90;30.32;182.25;29.98;187.57;29.28;192.82;28.22;197.95;26.83;202.92;25.13;207.69;23.14;212.26;20.89;216.61;18.40;220.74;15.70;224.66;12.80;228.37;9.75;231.90;6.54;235.26;3.21;238.46;-0.24;241.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.83;117.86;2.64;120.91;6.00;124.09;9.24;127.42;12.33;130.92;15.25;134.60;18.00;138.48;20.53;142.57;22.84;146.89;24.88;151.42;26.64;156.16;28.10;161.10;29.22;166.21;30.00;171.45;30.41;176.78;30.45;182.14;30.11;187.47;29.42;192.74;28.37;197.88;26.98;202.86;25.28;207.64;23.29;212.22;21.04;216.58;18.55;220.72;15.85;224.65;12.96;228.37;9.91;231.91;6.70;235.28;3.36;238.49;-0.09;241.56;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.83;117.70;2.65;120.75;6.02;123.93;9.26;127.26;12.36;130.75;15.30;134.44;18.05;138.32;20.59;142.41;22.90;146.72;24.96;151.26;26.73;156.01;28.19;160.95;29.33;166.07;30.11;171.32;30.53;176.65;30.58;182.03;30.25;187.38;29.56;192.65;28.52;197.81;27.14;202.80;25.44;207.60;23.45;212.19;21.21;216.56;18.72;220.71;16.02;224.65;13.13;228.38;10.07;231.93;6.86;235.30;3.52;238.52;0.07;241.60;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.81;117.54;2.67;120.58;6.04;123.76;9.29;127.09;12.40;130.59;15.34;134.27;18.10;138.15;20.66;142.25;22.98;146.56;25.04;151.10;26.82;155.85;28.30;160.80;29.44;165.93;30.23;171.18;30.66;176.53;30.72;181.92;30.40;187.28;29.72;192.57;28.68;197.74;27.30;202.75;25.60;207.56;23.62;212.17;21.37;216.55;18.89;220.71;16.19;224.66;13.30;228.40;10.24;231.95;7.03;235.33;3.69;238.55;0.24;241.64;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.80;117.37;2.70;120.41;6.08;123.59;9.33;126.92;12.44;130.42;15.40;134.10;18.16;137.98;20.73;142.08;23.06;146.40;25.13;150.94;26.92;155.69;28.41;160.65;29.56;165.78;30.36;171.05;30.80;176.41;30.87;181.81;30.56;187.19;29.88;192.50;28.84;197.68;27.47;202.70;25.78;207.53;23.79;212.15;21.55;216.54;19.06;220.71;16.36;224.67;13.47;228.42;10.41;231.98;7.20;235.36;3.86;238.59;0.40;241.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
